Ref,Val,Package,PosX,PosY,Rot,Side
P1,Conn_01x20_Pin,PinHeader_1x20_P2.54mm_Vertical,19.76,-46.07,-90,bottom
P2,Conn_01x20_Pin,PinHeader_1x20_P2.54mm_Vertical,35,-46.07,-90,bottom
